epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,18736.6,0.9924,0.47162,0.79268,0.7682,0.62488,0.68629,0.44801,0.95865,0.48732,0.79703,0.000458,0.000458,0.000458
66,19019.3,0.96194,0.4595,0.79421,0.70798,0.65857,0.70103,0.43993,0.9991,0.50405,0.80001,0.000445625,0.000445625,0.000445625
67,19301.7,0.97386,0.46225,0.79221,0.78672,0.62738,0.6892,0.45104,0.95778,0.48817,0.79649,0.00043325,0.00043325,0.00043325
68,19584.1,0.98647,0.46776,0.79376,0.7451,0.67289,0.69918,0.43229,0.94359,0.49365,0.79662,0.000420875,0.000420875,0.000420875
69,19867.2,0.96159,0.46409,0.79224,0.76309,0.62761,0.69809,0.44542,0.96579,0.49753,0.79827,0.0004085,0.0004085,0.0004085
70,20147.8,0.97026,0.46119,0.7925,0.75474,0.64688,0.69692,0.45479,0.96563,0.4907,0.79873,0.000396125,0.000396125,0.000396125
71,20432.7,0.97688,0.46362,0.7922,0.76153,0.63928,0.69398,0.43384,0.99881,0.49595,0.79892,0.00038375,0.00038375,0.00038375
72,20728.3,0.9714,0.45915,0.79044,0.80512,0.62985,0.70128,0.44649,0.96697,0.48882,0.79777,0.000371375,0.000371375,0.000371375
73,21018.9,0.9851,0.45827,0.7888,0.80034,0.61716,0.69157,0.43081,0.98285,0.49722,0.79869,0.000359,0.000359,0.000359
74,21303,0.93398,0.44471,0.79273,0.76353,0.62912,0.69296,0.4371,0.97859,0.48728,0.79934,0.000346625,0.000346625,0.000346625
75,21585.4,0.95587,0.44936,0.79144,0.7442,0.67157,0.70068,0.44727,0.96592,0.47992,0.79861,0.00033425,0.00033425,0.00033425
76,21871.3,0.96049,0.45209,0.79059,0.69591,0.66976,0.68699,0.44381,0.94071,0.47786,0.79699,0.000321875,0.000321875,0.000321875
77,22155.4,0.96675,0.45308,0.79021,0.7579,0.67441,0.70666,0.44821,0.96279,0.48153,0.79769,0.0003095,0.0003095,0.0003095
78,22445.8,0.94697,0.44629,0.78848,0.79595,0.60731,0.67984,0.43681,0.94715,0.48549,0.7971,0.000297125,0.000297125,0.000297125
79,22730.1,0.92479,0.43819,0.79144,0.776,0.63444,0.69502,0.45307,0.95404,0.47693,0.79908,0.00028475,0.00028475,0.00028475
80,23093.9,0.93308,0.44052,0.78981,0.77663,0.65572,0.69943,0.44879,0.96379,0.47624,0.79972,0.000272375,0.000272375,0.000272375
81,23463.6,0.93228,0.44267,0.78832,0.77618,0.6282,0.70083,0.43562,0.97014,0.48294,0.79934,0.00026,0.00026,0.00026
82,23787.6,0.9168,0.436,0.79067,0.78097,0.64422,0.70181,0.4555,0.96529,0.47947,0.79901,0.000247625,0.000247625,0.000247625
83,24143.5,0.91139,0.4311,0.7876,0.76342,0.63494,0.70421,0.45358,0.95709,0.47887,0.79874,0.00023525,0.00023525,0.00023525
84,24509.9,0.91452,0.43408,0.79047,0.70834,0.66267,0.69822,0.45269,0.95692,0.4859,0.79895,0.000222875,0.000222875,0.000222875
85,24934.5,0.93756,0.44128,0.78834,0.71306,0.63221,0.68608,0.42751,0.97119,0.47858,0.79906,0.0002105,0.0002105,0.0002105
86,25401.8,0.91231,0.43251,0.789,0.75123,0.65179,0.71251,0.45398,0.95287,0.47098,0.79814,0.000198125,0.000198125,0.000198125
87,25849,0.91379,0.42983,0.78956,0.74534,0.63519,0.68003,0.43273,0.97179,0.48788,0.79868,0.00018575,0.00018575,0.00018575
88,26313.3,0.92546,0.43761,0.78961,0.76842,0.64276,0.70419,0.45265,0.95047,0.47356,0.79722,0.000173375,0.000173375,0.000173375
89,26725.9,0.9162,0.43125,0.7879,0.79954,0.66845,0.72277,0.4505,0.97522,0.47275,0.79859,0.000161,0.000161,0.000161
90,27118.8,0.90755,0.42733,0.78854,0.79948,0.64625,0.69903,0.44866,0.94523,0.46665,0.79812,0.000148625,0.000148625,0.000148625
91,27505.2,0.85737,0.41835,0.7892,0.69335,0.66341,0.68283,0.44418,0.95522,0.49048,0.79651,0.00013625,0.00013625,0.00013625
92,27878.6,0.84169,0.4121,0.78831,0.73469,0.6474,0.68883,0.43046,0.94643,0.48198,0.79762,0.000123875,0.000123875,0.000123875
93,28185.9,0.84151,0.40792,0.78843,0.73438,0.66294,0.6958,0.43737,0.9515,0.47938,0.79782,0.0001115,0.0001115,0.0001115
94,28482,0.84892,0.40631,0.78905,0.72846,0.67127,0.699,0.4486,0.94995,0.48107,0.79765,9.9125e-05,9.9125e-05,9.9125e-05
95,28830.4,0.82353,0.4017,0.78778,0.79325,0.63352,0.68937,0.44079,0.95003,0.48209,0.79772,8.675e-05,8.675e-05,8.675e-05
96,29171.5,0.81608,0.39479,0.78554,0.83186,0.65602,0.69513,0.43971,0.94879,0.48096,0.7966,7.4375e-05,7.4375e-05,7.4375e-05
97,29506.9,0.81622,0.39717,0.7853,0.78118,0.64823,0.69311,0.44071,0.94219,0.48327,0.79647,6.2e-05,6.2e-05,6.2e-05
98,29819.9,0.81805,0.39598,0.78668,0.7444,0.65629,0.69544,0.44683,0.94658,0.4845,0.79705,4.9625e-05,4.9625e-05,4.9625e-05
99,30119,0.81106,0.38985,0.78744,0.84595,0.66236,0.69747,0.4436,0.94349,0.47874,0.79636,3.725e-05,3.725e-05,3.725e-05
100,30404,0.8019,0.39166,0.78597,0.77105,0.66297,0.69804,0.44498,0.9442,0.47736,0.79635,2.4875e-05,2.4875e-05,2.4875e-05
